Title,imdb_id
Throne of Blood,tt0050613
Inherit the Wind,tt0053946
Enter the Dragon,tt0070034
Jaws,tt0073195
Star Wars: Episode IV - A New Hope,tt0076759
Drunken Master,tt0080179
Alien,tt0078748
Gideon's Trumpet,tt0080789
Star Wars: Episode V - The Empire Strikes Back,tt0080684
Blade Runner,tt0083658
Tron,tt0084827
Scarface,tt0086250
Star Wars: Episode VI - Return of the Jedi,tt0086190
WarGames,tt0086567
The Karate Kid,tt0087538
The Terminator,tt0088247
Rocky IV,tt0089927
Aliens,tt0090605
Top Gun,tt0092099
The Princess Bride,tt0093779
Die Hard,tt0095016
Dead Poets Society,tt0097165
Glory,tt0097441
Hook,tt0102057
Terminator 2,tt0103064
Basic Instinct,tt0103772
Jurassic Park,tt0107290
Forrest Gump,tt0109830
Pulp Fiction,tt0110912
The Shawshank Redemption,tt0111161
GoldenEye,tt0113189
Se7en,tt0114369
Toy Story,tt0114709
Waterworld,tt0114898
Independence Day,tt0116629
Mission: Impossible,tt0117060
4 Little Girls,tt0118540
Good Will Hunting,tt0119217
Men in Black,tt0119654
The Lost World: Jurassic Park,tt0119567
Tomorrow Never Dies,tt0120347
A Bug's Life,tt0120623
Blade,tt0120611
Mulan,tt0120762
Rush Hour,tt0120812
Saving Private Ryan,tt0120815
Small Soldiers,tt0122718
The Parent Trap,tt0120783
Fight Club,tt0137523
October Sky,tt0132477
Star Wars: Episode I - The Phantom Menace,tt0120915
The Matrix,tt0133093
The World Is Not Enough,tt0143145
Toy Story 2,tt0120363
American Psycho,tt0144084
Cast Away,tt0162222
Charlie's Angels,tt0160127
Gladiator,tt0172495
Mission: Impossible II,tt0120755
"O Brother, Where Art Thou?",tt0190590
Pitch Black,tt0134847
Remember the Titans,tt0210945
Shanghai Noon,tt0184894
X-Men,tt0120903
A Beautiful Mind,tt0268978
Ali,tt0248667
Donnie Darko,tt0246578
Harry Potter and the Sorcerer's Stone,tt0241527
Jurassic Park III,tt0163025
Legally Blonde,tt0250494
"Monsters, Inc.",tt0198781
Ocean's Eleven,tt0240772
Planet of the Apes,tt0133152
Shaolin Soccer,tt0286112
Shrek,tt0126029
Spirited Away,tt0245429
Spy Kids,tt0227538
The Fast and the Furious,tt0232500
The Lord of the Rings: The Fellowship of the Ring,tt0120737
Training Day,tt0139654
Zoolander,tt0196229
Blade II,tt0187738
Die Another Day,tt0246460
Harry Potter and the Chamber of Secrets,tt0295297
Ice Age,tt0268380
Men in Black II,tt0120912
Minority Report,tt0181689
Scooby-Doo,tt0267913
Signs,tt0286106
Spider-Man,tt0145487
Spy Kids 2: Island of Lost Dreams,tt0287717
Star Wars: Episode II - Attack of the Clones,tt0121765
The Bourne Identity,tt0258463
The Lord of the Rings: The Two Towers,tt0167261
The Tuxedo,tt0290095
2 Fast 2 Furious,tt0322259
Cheaper by the Dozen,tt0349205
Finding Nemo,tt0266543
Hulk,tt0286716
Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980
School of Rock,tt0332379
Spy Kids 3: Game Over,tt0338459
Terminator 3: Rise of the Machines,tt0181852
The Italian Job,tt0317740
The Last Samurai,tt0325710
The Lord of the Rings: The Return of the King,tt0167260
The Matrix Reloaded,tt0234215
The Matrix Revolutions,tt0242653
X2,tt0290334
Around the World in 80 Days,tt0327437
Blade: Trinity,tt0359013
Chin gei bin 2: Fa tou tai kam,tt0398373
Fahrenheit 9/11,tt0361596
Harry Potter and the Prisoner of Azkaban,tt0304141
Hellboy,tt0167190
Hotel Rwanda,tt0395169
"I, Robot",tt0343818
Mean Girls,tt0377092
Million Dollar Baby,tt0405159
National Treasure,tt0368891
Ocean's Twelve,tt0349903
Shrek 2,tt0298148
Something the Lord Made,tt0386792
Spider-Man 2,tt0316654
The Bourne Supremacy,tt0372183
The Incredibles,tt0317705
Troy,tt0332452
Batman Begins,tt0372784
Charlie and the Chocolate Factory,tt0367594
Harry Potter and the Goblet of Fire,tt0330373
Hitch,tt0386588
King Kong,tt0360717
Mr. & Mrs. Smith,tt0356910
Star Wars: Episode III - Revenge of the Sith,tt0121766
The 40-Year-Old Virgin,tt0405422
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",tt0363771
The Hitchhiker's Guide to the Galaxy,tt0371724
The Longest Yard,tt0398165
The Pacifier,tt0395699
Wedding Crashers,tt0396269
300,tt0416449
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,tt0443453
Cars,tt0317219
Casino Royale,tt0381061
Click,tt0389860
Fearless,tt0446059
Mission: Impossible III,tt0317919
Pirates of the Caribbean: Dead Man's Chest,tt0383574
Stranger than Fiction,tt0420223
Superman Returns,tt0348150
The Covenant,tt0475944
The Fast and the Furious: Tokyo Drift,tt0463985
The Prestige,tt0482571
The Pursuit of Happyness,tt0454921
X-Men: The Last Stand,tt0376994
Hot Fuzz,tt0425112
I Am Legend,tt0480249
Juno,tt0467406
Knocked Up,tt0478311
National Treasure: Book of Secrets,tt0465234
Next,tt0435705
Ocean's Thirteen,tt0496806
Paranormal Activity,tt1179904
Pirates of the Caribbean: At World's End,tt0449088
Spider-Man 3,tt0413300
Superbad,tt0829482
The Bourne Ultimatum,tt0440963
Transformers,tt0418279
21,tt0478087
Death Race,tt0452608
Eagle Eye,tt1059786
Frost/Nixon,tt0870111
Hellboy II: The Golden Army,tt0411477
Jumper,tt0489099
Kung Fu Panda,tt0441773
Quantum of Solace,tt0830515
Saw V,tt1132626
Slumdog Millionaire,tt1010048
Speed Racer,tt0811080
The Curious Case of Benjamin Button,tt0421715
The Dark Knight,tt0468569
The Forbidden Kingdom,tt0865556
The Hurt Locker,tt0887912
The Mummy: Tomb of the Dragon Emperor,tt0859163
Tropic Thunder,tt0942385
WALL·E,tt0910970
Wanted,tt0493464
Yip Man,tt1220719
Avatar,tt0499549
District 9,tt1136608
Fast & Furious,tt1013752
G.I. Joe: Retaliation,tt1046173
Gamer,tt1034032
Inglourious Basterds,tt0361748
Knowing,tt0448011
Knowing,tt0448011
Monsters vs. Aliens,tt0892782
Sherlock Holmes,tt0988045
Star Trek,tt0796366
Terminator Salvation,tt0438488
The Blind Side,tt0878804
The Hangover,tt1119646
The Proposal,tt1041829
Transformers: Revenge of the Fallen,tt1055369
Up,tt1049413
Watchmen,tt0409459
X-Men Origins: Wolverine,tt0458525
Zombieland,tt1156398
Alice in Wonderland,tt1014759
Despicable Me,tt1323594
Get Him to the Greek,tt1226229
How to Train Your Dragon,tt0892769
Inception,tt1375666
Megamind,tt1001526
Repo Men,tt1053424
Salt,tt0944835
Tangled,tt0398286
The Book of Eli,tt1037705
The Conspirator,tt0968264
The Karate Kid,tt1155076
The King's Speech,tt1504320
The Social Network,tt1285016
Toy Story 3,tt0435761
Tron,tt1104001
True Grit,tt1403865
Unstoppable,tt0477080
50/50,tt1306980
Bad Teacher,tt1284575
Bridesmaids,tt1478338
Captain America: The First Avenger,tt0458339
Contagion,tt1598778
Drive,tt0780504
Fast Five,tt1596343
Horrible Bosses,tt1499658
Immortals,tt1253864
J. Edgar,tt1616195
Kung Fu Panda 2,tt1302011
Midnight in Paris,tt1605783
Mission: Impossible - Ghost Protocol,tt1229238
Moneyball,tt1210166
Real Steel,tt0433035
Rise of the Planet of the Apes,tt1318514
Source Code,tt0945513
Super 8,tt1650062
The Three Musketeers,tt1509767
Transformers: Dark of the Moon,tt1399103
War Horse,tt1568911
Warrior,tt1291584
21 Jump Street,tt1232829
Chronicle,tt1706593
John Carter,tt0401729
Men in Black 3,tt1409024
Skyfall,tt1074638
Ted,tt1637725
The Amazing Spider-Man,tt0948470
The Bourne Legacy,tt1194173
The Dark Knight Rises,tt1345836
The Dictator,tt1645170
The Hobbit: An Unexpected Journey,tt0903624
The Hunger Games,tt1392170
The Man with the Iron Fists,tt1258972
Total Recall,tt1386703
Wreck-it Ralph,tt1772341
Furious 6,tt1905041
Scott Pilgrim vs. the World,tt0446029
Daredevil,tt0287978
Dredd,tt1343727
Cowboys & Aliens,tt0409847
No Country for Old Men,tt0477348
Van Helsing,tt0338526
Django Unchained,tt1853728
This is Spinal Tap,tt0088258
V for Vendetta,tt0434409
Memento,tt0209144
Lawless,tt1212450
G.I. Joe: Retaliation,tt1583421
Star Trek: Into Darkness,tt1408101
Monsters University,tt1453405
Pacific Rim,tt1663662
Man of Steel,tt0770828
Elysium,tt1535108
Akira,tt0094625
Who Framed Roger Rabbit,tt0096438
The Internship,tt2234155
White House Down,tt2334879
Speed,tt0111257
The Wolverine,tt1430132
Despicable Me 2,tt1690953
Prometheus,tt1446714
This is the End,tt1245492
Pineapple Express,tt0910936
The Hobbit: The Desolation of Smaug,tt1170358
The Expendables,tt1320253
The Expendables 2,tt1764651
Brave,tt1217209
Rio,tt1436562
Looper,tt1276104
The Hunger Games: Catching Fire,tt1951264
Thor: The Dark World,tt1981115
Jiro Dreams of Sushi,tt1772925
World War Z,tt0816711
Trader,tt5996252
Wall Street,tt0094291
Quants: The Alchemists of Wall Street,N/A
A.I. Artificial Intelligence,tt0212720
Boiler Room,tt0181984
American Gangster,tt0765429
Oldeuboi,tt0364569
Now You See Me,tt1670345
Oblivion,tt1483013
Goldfinger,tt0058150
Argo,tt1024648
Reservoir Dogs,tt0105236
Porky's,tt0084522
The Town,tt0840361
RoboCop,tt1234721
The Breakfast Club,tt0088847
Caddyshack,tt0080487
The Amazing Spider-Man 2,tt1872181
Captain America: The Winter Soldier,tt1843866
Godzilla,tt0831387
Taken,tt0936501
X-Men: Days of Future Past,tt1877832
Arbitrage,tt1764183
Transformers: Age of Extinction,tt2109248
Kung Fu Hustle,tt0373074
Edge of Tomorrow,tt1631867
How to Train Your Dragon 2,tt1646971
The Other Woman,tt2203939
Snowpiercer,tt1706620
22 Jump Street,tt2294449
Rush,tt1979320
Sin City,tt0401792
The Departed,tt0407887
The Game,tt0119174
Margin Call,tt1615147
Guardians of the Galaxy,tt2015381
Predator,tt0093773
The Godfather,tt0068646
Frozen,tt2294629
Neighbors,tt2004420
How to Lose a Guy in 10 Days,tt0251127
Taxi Driver,tt0075314
The Godfather: Part II,tt0071562
The Gambler,tt0071532
Keith,tt0435679
The Hunger Games: Mockingjay - Part 1,tt1951265
New Jack City,tt0102526
Citizen Kane,tt0033467
The Hobbit: The Battle of the Five Armies,tt2310332
Big Hero 6,tt2245084
The Devil Wears Prada,tt0458352
2001: A Space Odyssey,tt0062622
The Imitation Game,tt2084970
Catch Me If You Can,tt0264464
The Princess Diaries,tt0247638
Rio 2,tt2357291
Kingsman: The Secret Service,tt2802144
There Will Be Blood,tt0469494
Furious 7,tt2820852
Avengers: Age of Ultron,tt2395427
Goodfellas,tt0099685
Mad Max: Fury Road,tt1392190
The Wolf of Wall Street,tt0993846
Jurassic World,tt0369610
Se7en,tt0114369
Straight Outta Compton,tt1398426
Inside Out,tt2096673
Mission: Impossible - Rogue Nation,tt2381249
Scent of a Woman,tt0105323
Raiders of the Lost Ark,tt0082971
The Martian,tt3659388
Back to the Future,tt0088763
Billy Madison,tt0112508
Indiana Jones and the Temple of Doom,tt0087469
Indiana Jones and the Last Crusade,tt0097576
Back to the Future Part II,tt0096874
Ant-Man,tt0478970
Rain Man,tt0095953
Kill Bill: Vol. 1,tt0266697
Kill Bill: Vol. 2,tt0378194
Zero Dark Thirty,tt1790885
The Fugitive,tt0106977
Spectre,tt2379713
Star Wars: The Force Awakens,tt2488496
Creed,tt3076658
Fargo,tt0116282
The Notebook,tt0332280
(500) Days of Summer,tt1022603
Deadpool,tt1431045
Whiplash,tt2582802
Pi,tt0138704
Groundhog Day,tt0107048
Dallas Buyers Club,tt0790636
Unbreakable,tt0217869
Say Anything…,tt0098258
Ghostbusters,tt0087332
No Strings Attached,tt1411238
Batman v Superman: Dawn of Justice,tt2975590
Ratatouille,tt0382932
Moon,tt1182345
The Raid: Redemption,tt1899353
Dope,tt3850214
Captain America: Civil War,tt3498820
The Revenant,tt1663202
Kung Fu Panda 3,tt2267968
Requiem for a Dream,tt0180093
Fast Times at Ridgemont High,tt0083929
Zootopia,tt2948356
Sixteen Candles,tt0088128
Stripes,tt0083131
X-Men: Apocalypse,tt3385516
Spotlight,tt1895587
Independence Day: Resurgence,tt1628841
The Purge: Election Year,tt4094724
Batman v Superman: Dawn of Justice (Ultimate Edition),N/A
"Good Morning, Vietnam",tt0093105
Justice League: Throne of Atlantis,tt3878542
Stargate,tt0111282
Dirty Harry,tt0066999
Best in Show,tt0218839
Justice League: War,tt3060952
Birdman or (The Unexpected Virtue of Ignorance),tt2562232
Boyz n the Hood,tt0101507
Interstellar,tt0816692
First Blood,tt0083944
Sicario,tt3397884
Heat,tt0113277
"Crouching Tiger, Hidden Dragon",tt0190332
Neighbors 2: Sorority Rising,tt4438848
Inside Man,tt0454848
Malcolm X,tt0104797
Kick-Ass,tt1250777
The Running Man,tt0093894
Commando,tt0088944
The Nice Guys,tt3799694
Bloodsport,tt0092675
Team America: World Police,tt0372588
They Live,tt0096256
Jason Bourne,tt4196776
Lethal Weapon,tt0093409
The Secret Life of Pets,tt2709768
Beverly Hills Cop,tt0086960
The Iron Giant,tt0129167
Star Trek: Beyond,tt2660888
Suicide Squad,tt1386697
American Beauty,tt0169547
Finding Dory,tt2277860
History of the World: Part I,tt0082517
Bad Boys,tt0112442
Doctor Strange,tt1211837
Police Academy,tt0087928
The Mask of Zorro,tt0120746
Heathers,tt0097493
The Lincoln Lawyer,tt1189340
Rogue One,tt3748528
Beauty and the Beast,tt2771200
Fantastic Beasts and Where To Find Them,tt3183660
Fantastic Mr. Fox,tt0432283
Ghostbusters,tt1289401
La La Land,tt3783958
Assassin's Creed,tt2094766
Moana,tt3521164
The Grand Budapest Hotel,tt2278388
The Edge of Seventeen,tt1878870
Guardians of the Galaxy Vol. 2,tt3896198
Logan,tt3315342
Coming to America,tt0094898
Kong: Skull Island,tt3731562
Baby Driver,tt3890160
Spider-Man: Homecoming,tt2250912
War for the Planet of the Apes,tt3450958
Wonder Woman,tt0451279
The Hateful Eight,tt3460252
Transformers: The Last Knight,tt3371366
Atomic Blonde,tt2406566
Glengarry Glen Ross,tt0104348
The Child in Time,tt6540078
Paid in Full,tt0259484
Justice League,tt0974015
Kubo and the Two Strings,tt4302938
Valerian and the City of a Thousand Planets,tt2239822
Thor: Ragnarok,tt3501632
Star Wars: Episode VIII - The Last Jedi,tt2527336
Kingsman: The Golden Circle,tt4649466
Arrival,tt2543164
The Great Wall,tt2034800
Dunkirk,tt5013056
Blade Runner 2049,tt1856101
Black Panther,tt1825683
The Fate of the Furious,tt4630562
Trading Places,tt0086465
Spectral,tt2106651
Pacific Rim: Uprising,tt2557478
Apocalypse Now,tt0078788
Pulp Fiction,tt0110912